title,id,date_added,artists,artist_id,artist_genre,album,album_id,album_date,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
Savage (feat. Flux Pavilion & MAX),0kD586ste6xyDRqUYhVlCh,2018-05-08T23:12:18Z,Whethan,0vqJkZ0RpLZixt3lTmD8vP,edm,Savage (feat. Flux Pavilion & MAX),1MWHKCowe1fS0A3LfRpEdK,2016-12-06,0.151,0.679,205333,0.662,0,7,0.376,-5.861,1,0.0773,90.054,4,https://api.spotify.com/v1/tracks/0kD586ste6xyDRqUYhVlCh,audio_features,spotify:track:0kD586ste6xyDRqUYhVlCh,0.365
Sounds Like You,7mt8kKJocwsJjQvhQyS3DV,2018-05-08T19:06:35Z,Kid Quill,5vGXVYudNgm9E7jhXMM0Ro,indie pop rap,The Name Above the Title,6etkxXf4drxC4RN9y9Yoxg,2016-10-14,0.0281,0.576,218558,0.616,6.24e-06,5,0.795,-8.893,1,0.121,157.766,4,https://api.spotify.com/v1/tracks/7mt8kKJocwsJjQvhQyS3DV,audio_features,spotify:track:7mt8kKJocwsJjQvhQyS3DV,0.613
Time (feat. G-Eazy & Olivver the Kid),1UmqCjLXjTwPmuTeaopDQh,2018-05-08T19:01:53Z,Skizzy Mars,00Z3UDoAQwzvGu13HoAM7J,indie pop rap,The Red Balloon Project,7hEwBV9N35B3vigudsvjJD,2015-02-03,0.0182,0.711,235240,0.65,0,9,0.0948,-7.186,0,0.191,95.814,4,https://api.spotify.com/v1/tracks/1UmqCjLXjTwPmuTeaopDQh,audio_features,spotify:track:1UmqCjLXjTwPmuTeaopDQh,0.386
Holding on to You,3C3cr2JQwXIhqAHqOardVO,2018-05-04T18:36:17Z,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,modern rock,Vessel,2r2r78NE05YjyHyVbVgqFn,2013-01-08,0.241,0.608,263733,0.776,0,11,0.0713,-3.635,1,0.0511,89.996,4,https://api.spotify.com/v1/tracks/3C3cr2JQwXIhqAHqOardVO,audio_features,spotify:track:3C3cr2JQwXIhqAHqOardVO,0.814
Let’s Go,2PlP2rRrgSz8lC7MpH3e4e,2018-05-04T18:35:49Z,Matt and Kim,4MSMDY0ClgWqXApU53I1L1,brooklyn indie,Lightning,2MbpbHn31Luzr8G3uDsSUH,2012-10-02,0.391,0.656,210747,0.677,1.92e-06,2,0.118,-6.929,1,0.0285,112.014,4,https://api.spotify.com/v1/tracks/2PlP2rRrgSz8lC7MpH3e4e,audio_features,spotify:track:2PlP2rRrgSz8lC7MpH3e4e,0.57
Buzzin',3wQaW4rEZe7AaDrlrX4eDy,2018-05-04T18:35:44Z,Shwayze,6f0hUHWLOCxCSDQMtdVAS7,indie pop rap,Shwayze,1dsx7hZiQeXIMDZ1dVgt5K,2008-01-01,0.0171,0.85,212280,0.58,1.41e-06,2,0.072,-8.156,1,0.0563,93.018,4,https://api.spotify.com/v1/tracks/3wQaW4rEZe7AaDrlrX4eDy,audio_features,spotify:track:3wQaW4rEZe7AaDrlrX4eDy,0.321
Be Easy (feat. Kinetics),3yBuFPKjJuDCZGK86qXwgo,2018-05-04T18:35:35Z,Radical Something,2UohZ1T4H9BwBb5lYgZodI,indie pop rap,We Are Nothing,6Qepb2k6QNwnITFsWzs0Rh,2011-09-20,0.13,0.598,220786,0.534,0,2,0.0848,-7.446,1,0.123,171.757,4,https://api.spotify.com/v1/tracks/3yBuFPKjJuDCZGK86qXwgo,audio_features,spotify:track:3yBuFPKjJuDCZGK86qXwgo,0.359
Take a Walk,4Sfa7hdVkqlM8UW5LsSY3F,2018-05-03T17:28:21Z,Passion Pit,7gjAu1qr5C2grXeQFFOGeh,alternative dance,Gossamer,14JU5SskmcyckE5I8PY6lv,2012-07-23,0.0338,0.566,264493,0.755,0,11,0.315,-5.526,1,0.0368,101.006,4,https://api.spotify.com/v1/tracks/4Sfa7hdVkqlM8UW5LsSY3F,audio_features,spotify:track:4Sfa7hdVkqlM8UW5LsSY3F,0.445
Cheap Thrills,27SdWb2rFzO6GWiYDBTD9j,2018-04-04T13:30:43Z,Sia,5WUlDfRSoLAfcVSX1WnrxN,australian dance,This Is Acting,77jAfTh3KH9K2reMOmTgOh,2016-01-29,0.0472,0.628,211667,0.698,0.00143,6,0.0907,-5.608,0,0.105,89.976,4,https://api.spotify.com/v1/tracks/27SdWb2rFzO6GWiYDBTD9j,audio_features,spotify:track:27SdWb2rFzO6GWiYDBTD9j,0.732
Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,2018-04-04T13:28:26Z,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,dance pop,All Your Fault: Pt. 2,6t5D6LEgHxqUVOxJItkzfb,2017-08-11,0.047,0.643,163870,0.783,0,10,0.083,-6.458,1,0.0856,154.084,4,https://api.spotify.com/v1/tracks/7iDa6hUg2VgEL1o1HjmfBn,audio_features,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,0.579
Wish I Knew You,2EWpa5XnAuSn0sIkSSIhYk,2018-03-31T22:29:14Z,The Revivalists,5kuJibJcwOC53s3OkoGMRA,indie folk,Men Amongst Mountains,4d40uSufPdCDGGedQGCdGn,2015-07-15,0.142,0.649,274093,0.718,0.0713,0,0.124,-6.593,0,0.0261,101.034,4,https://api.spotify.com/v1/tracks/2EWpa5XnAuSn0sIkSSIhYk,audio_features,spotify:track:2EWpa5XnAuSn0sIkSSIhYk,0.718
Love$ick (feat. A$AP Rocky),3sTN90bIP2cJ1783ctHykO,2018-03-31T22:21:27Z,Mura Masa,5Q81rlcTFh3k6DQJXPdsot,channel islands indie,Mura Masa,0NBTBo1qrg554sAj79nEqD,2017-07-14,0.147,0.625,192160,0.763,0.0106,8,0.214,-4.997,0,0.129,88.753,4,https://api.spotify.com/v1/tracks/3sTN90bIP2cJ1783ctHykO,audio_features,spotify:track:3sTN90bIP2cJ1783ctHykO,0.721
Feels Like Summer,2jz1bw1p0WQj0PDnVDP0uY,2018-03-31T01:45:46Z,Weezer,3jOstUTkEu2JkjvRdBA5Gu,alternative rock,Pacific Daydream,3EwfQtjvyRAXsPWAKO5FDP,2017-10-27,0.02,0.53,195893,0.867,0.000248,11,0.737,-4.989,1,0.0504,175.981,4,https://api.spotify.com/v1/tracks/2jz1bw1p0WQj0PDnVDP0uY,audio_features,spotify:track:2jz1bw1p0WQj0PDnVDP0uY,0.74
I'd Be Jealous Too,7rdK9NSJIRBZAiXC0vuBS9,2018-03-29T23:29:41Z,Dustin Lynch,1dID9zgn0OV0Y8ud7Mh2tS,contemporary country,Current Mood,23cuZhPWDfX1uKD4qwuv7t,2017-09-08,0.0896,0.716,185707,0.718,0,0,0.473,-5.355,1,0.0293,100.934,4,https://api.spotify.com/v1/tracks/7rdK9NSJIRBZAiXC0vuBS9,audio_features,spotify:track:7rdK9NSJIRBZAiXC0vuBS9,0.537
