danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, type, id, uri, track_href, analysis_url, duration_ms, time_signature
0.254,0.949,9,-7.404,1,0.195,0.23,0.211,0.36,0.271,132.546,audio_features,45hB5bKTycuVbNt10p6wOa,spotify:track:45hB5bKTycuVbNt10p6wOa,https://api.spotify.com/v1/tracks/45hB5bKTycuVbNt10p6wOa,https://api.spotify.com/v1/audio-analysis/45hB5bKTycuVbNt10p6wOa,241067,3
0.668,0.247,5,-20.61,1,0.031,0.767,0.155,0.11,0.347,110.055,audio_features,2fYjyGdev6c3RMLdvq31vU,spotify:track:2fYjyGdev6c3RMLdvq31vU,https://api.spotify.com/v1/tracks/2fYjyGdev6c3RMLdvq31vU,https://api.spotify.com/v1/audio-analysis/2fYjyGdev6c3RMLdvq31vU,200307,4
0.236,0.809,3,-3.545,0,0.045,0.0345,1.18e-05,0.111,0.55,185.867,audio_features,12gliYvXmDIZ4yQpWxT68k,spotify:track:12gliYvXmDIZ4yQpWxT68k,https://api.spotify.com/v1/tracks/12gliYvXmDIZ4yQpWxT68k,https://api.spotify.com/v1/audio-analysis/12gliYvXmDIZ4yQpWxT68k,319840,4
0.415,0.665,10,-5.953,0,0.0782,0.195,2.07e-05,0.322,0.562,185.507,audio_features,7djdAaHU97yxJj1xOlIZ8v,spotify:track:7djdAaHU97yxJj1xOlIZ8v,https://api.spotify.com/v1/tracks/7djdAaHU97yxJj1xOlIZ8v,https://api.spotify.com/v1/audio-analysis/7djdAaHU97yxJj1xOlIZ8v,235347,3
0.589,0.554,11,-5.228,1,0.0275,0.322,0.0,0.196,0.165,118.03,audio_features,2qMAWxSNwG4xiDXW9tp7iQ,spotify:track:2qMAWxSNwG4xiDXW9tp7iQ,https://api.spotify.com/v1/tracks/2qMAWxSNwG4xiDXW9tp7iQ,https://api.spotify.com/v1/audio-analysis/2qMAWxSNwG4xiDXW9tp7iQ,258173,4
0.868,0.696,7,-4.902,1,0.0611,0.436,0.297,0.0678,0.794,98.626,audio_features,0Wqf68jzr8kZItqsoNDrIA,spotify:track:0Wqf68jzr8kZItqsoNDrIA,https://api.spotify.com/v1/tracks/0Wqf68jzr8kZItqsoNDrIA,https://api.spotify.com/v1/audio-analysis/0Wqf68jzr8kZItqsoNDrIA,194267,4
0.8,0.222,1,-16.717,1,0.039,0.0261,0.0,0.0618,0.689,121.935,audio_features,3FvGF4yemV28DPyS9sAO0u,spotify:track:3FvGF4yemV28DPyS9sAO0u,https://api.spotify.com/v1/tracks/3FvGF4yemV28DPyS9sAO0u,https://api.spotify.com/v1/audio-analysis/3FvGF4yemV28DPyS9sAO0u,207320,4
0.751,0.922,0,-7.695,1,0.0441,0.000102,0.704,0.0399,0.399,125.006,audio_features,2OqbrFKuS7LNxRFjqrmiHr,spotify:track:2OqbrFKuS7LNxRFjqrmiHr,https://api.spotify.com/v1/tracks/2OqbrFKuS7LNxRFjqrmiHr,https://api.spotify.com/v1/audio-analysis/2OqbrFKuS7LNxRFjqrmiHr,406147,4
0.816,0.608,0,-7.176,1,0.0296,0.35,0.000167,0.0487,0.962,107.119,audio_features,3ZX3LOuHQz0OCKAhdvc9Ti,spotify:track:3ZX3LOuHQz0OCKAhdvc9Ti,https://api.spotify.com/v1/tracks/3ZX3LOuHQz0OCKAhdvc9Ti,https://api.spotify.com/v1/audio-analysis/3ZX3LOuHQz0OCKAhdvc9Ti,283933,4
0.694,0.795,5,-4.784,0,0.0433,0.0163,0.543,0.109,0.479,76.512,audio_features,6zrKScUgtxFKLRMXMsDZZx,spotify:track:6zrKScUgtxFKLRMXMsDZZx,https://api.spotify.com/v1/tracks/6zrKScUgtxFKLRMXMsDZZx,https://api.spotify.com/v1/audio-analysis/6zrKScUgtxFKLRMXMsDZZx,258293,4
0.801,0.724,11,-6.571,1,0.0614,0.0197,0.0,0.0507,0.695,104.489,audio_features,4PtnUQgXnNZ5pBVcRf90yy,spotify:track:4PtnUQgXnNZ5pBVcRf90yy,https://api.spotify.com/v1/tracks/4PtnUQgXnNZ5pBVcRf90yy,https://api.spotify.com/v1/audio-analysis/4PtnUQgXnNZ5pBVcRf90yy,158200,4
0.708,0.403,0,-7.931,0,0.0389,0.864,0.0,0.136,0.604,111.363,audio_features,673snEmKoC4CnVGVu3e8YZ,spotify:track:673snEmKoC4CnVGVu3e8YZ,https://api.spotify.com/v1/tracks/673snEmKoC4CnVGVu3e8YZ,https://api.spotify.com/v1/audio-analysis/673snEmKoC4CnVGVu3e8YZ,210493,4
0.554,0.49,0,-11.945,1,0.0364,0.262,0.041,0.201,0.721,76.302,audio_features,4JgOO0g51r424zi2emvknA,spotify:track:4JgOO0g51r424zi2emvknA,https://api.spotify.com/v1/tracks/4JgOO0g51r424zi2emvknA,https://api.spotify.com/v1/audio-analysis/4JgOO0g51r424zi2emvknA,376173,4
0.441,0.495,1,-9.535,0,0.0322,0.686,0.253,0.723,0.499,131.949,audio_features,0FpY4opCS67IvkyfOthMxC,spotify:track:0FpY4opCS67IvkyfOthMxC,https://api.spotify.com/v1/tracks/0FpY4opCS67IvkyfOthMxC,https://api.spotify.com/v1/audio-analysis/0FpY4opCS67IvkyfOthMxC,461720,4
