acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,arstist_id,artist_name,genre,name
0.000146,0.475,234867.0,0.439,0HOrDVS349XFcpCYsO2hAP,0.000277,11.0,0.223,-15.039,0.0,0.0427,118.392,4.0,0.76,5q4AzEtCoYJyXjMMoEkSU5,Bachman-Turner Overdrive,Rock,You Ain't Seen Nothing Yet
0.000273,0.215,194853.0,0.927,6qLEOZvf5gI7kWE63JE7p3,0.00661,9.0,0.126,-7.327,1.0,0.0452,170.814,4.0,0.49,2UazAtjfzqBF0Nho2awK4z,Stone Temple Pilots,Rock,Interstate Love Song - 2019 Remaster
0.0117,0.292,275395.0,0.823,6Nd6ntkzr4t8o1FKPGOSMt,7.79e-05,7.0,0.155,-6.763,1.0,0.0407,89.939,4.0,0.244,3UbyYnvNIT5DFXU4WgiGpP,Whitesnake,Rock,Here I Go Again - 2018 Remaster
0.212,0.623,256000.0,0.449,5tVA6TkbaAH9QMITTQRrNv,0.0,5.0,0.0613,-13.333,1.0,0.0253,84.383,4.0,0.572,2UZMlIwnkgAEDBsw1Rejkn,Tom Petty,Rock,Free Fallin'
0.172,0.39,299760.0,0.649,6lEuFGrUqR9Yc6hSsHPnYP,0.0,2.0,0.216,-5.163,1.0,0.0345,121.16,4.0,0.144,7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,Rock,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack"
0.00817,0.726,231733.0,0.463,3dPQuX8Gs42Y7b454ybpMR,0.447,0.0,0.255,-7.828,1.0,0.0799,123.881,4.0,0.321,4F84IBURUo98rz4r61KF70,The White Stripes,Rock,Seven Nation Army
0.379,0.733,197160.0,0.726,6xq5DxZWGgdStAxGAil0yw,2.58e-06,7.0,0.471,-6.514,1.0,0.0371,120.814,4.0,0.915,6SLAMfhOi7UJI0fMztaK0m,Rainbow,Rock,Since You Been Gone
0.262,0.438,210373.0,0.71,63OFKbMaZSDZ4wtesuuq6f,0.537,2.0,0.221,-12.412,1.0,0.0919,145.928,4.0,0.53,1WRM9i067hd2ujxxi8FI3m,Steppenwolf,Rock,Born To Be Wild
0.579,0.601,214080.0,0.574,4lJ6YVXQ0jUk5ILu0PSrA4,1.14e-05,2.0,0.216,-8.166,1.0,0.03,147.964,4.0,0.8,3v4feUQnU3VEUqFrjmtekL,Faces,Rock,Ooh La La
0.249,0.653,216533.0,0.677,1ynmMEK1fkyiZ6Z6F3ThEt,0.0,0.0,0.403,-12.244,1.0,0.0396,114.37,4.0,0.888,69Mj3u4FTUrpyeGNSIaU6F,The J. Geils Band,Rock,Centerfold
0.62,0.67,217613.0,0.591,52KvuGmgcgRdrLMXOtda0E,0.0,7.0,0.373,-6.012,1.0,0.0646,91.439,4.0,0.8,3Fz2GbraVXhcpXnoi2Oe1r,Billy Squier,Rock,The Stroke - Remastered
0.144,0.855,202733.0,0.691,1cU34sZG9kF4FYHCoAD0Ib,0.0,2.0,0.36,-6.51,1.0,0.0514,121.472,4.0,0.647,0qEcf3SFlpRcb3lK3f2GZI,Grand Funk Railroad,Rock,Some Kind Of Wonderful - Remastered 1999
0.171,0.572,241600.0,0.835,7N3PAbqfTjSEU1edb2tY8j,0.000377,0.0,0.0702,-6.219,1.0,0.0317,129.981,4.0,0.795,2cnMpRsOVqtPMfq7YiFE6K,Van Halen,Rock,Jump - 2015 Remaster
0.434,0.7,243267.0,0.726,6BD1X1PeV5UzYUdiVaD2yL,1.1e-06,2.0,0.0963,-7.717,1.0,0.0329,130.109,4.0,0.641,0543y7yrvny4KymoaneT4W,Peter Frampton,Rock,Show Me The Way
0.209,0.585,180067.0,0.532,1hHGUdFaiJHw9hVZGJWYO2,0.00797,7.0,0.227,-9.673,1.0,0.0268,94.461,4.0,0.68,4wQ3PyMz3WwJGI5uEqHUVR,Allman Brothers Band,Rock,Midnight Rider
0.193,0.477,304787.0,0.471,1JLn8RhQzHz3qDqsChcmBl,1.76e-06,6.0,0.131,-10.036,1.0,0.0277,81.204,4.0,0.423,6IRouO5mvvfcyxtPDKMYFN,Foreigner,Rock,I Want to Know What Love Is - 1999 Remaster
0.359,0.554,304800.0,0.639,7257drAN3eTtaaUUPw95B3,0.00274,9.0,0.205,-7.163,0.0,0.0278,180.638,4.0,0.644,1OwarW4LEHnoep20ixRA0y,Robert Plant,Rock,Big Log - 2006 Remaster
0.00719,0.409,290960.0,0.92,3vV3cr2TpPqFk07zxYUbla,0.00105,11.0,0.0823,-5.439,0.0,0.12,145.085,4.0,0.37,1dLWg6m8RRhizsdqJbhyj3,Quiet Riot,Rock,Cum on Feel the Noize
0.00614,0.459,292173.0,0.727,6s0NHplywwr1IjnQpUpWJk,0.0652,0.0,0.384,-11.777,1.0,0.0303,149.231,1.0,0.955,4n31svBA9GGIYxGxgrQaRK,George Thorogood & The Destroyers,Rock,Bad To The Bone
0.221,0.645,227267.0,0.598,7Ar4G7Ci11gpt6sfH9Cgz5,3.53e-06,1.0,0.0721,-13.18,0.0,0.0335,105.929,4.0,0.913,39T6qqI0jDtSWWioX8eGJz,The Doobie Brothers,Rock,Listen to the Music
0.493,0.573,134253.0,0.939,29SyMC0plk6qw8NMF7lfRL,0.0,8.0,0.0994,-6.441,1.0,0.0808,137.382,4.0,0.963,1SQRv42e4PjEYfPhS0Tk9E,The Kinks,Rock,You Really Got Me - Mono Mix
0.0122,0.53,215293.0,0.603,2i37Y95xkPhHtoYBywVBUm,0.0196,9.0,0.0835,-4.373,1.0,0.115,123.006,4.0,0.549,4wo1267SJuUfHgasdlfNfc,The Raconteurs,Rock,"Steady, as She Goes"
0.0178,0.276,230507.0,0.639,1XxUDJp9zsjd6tBSvE3la4,0.0,2.0,0.292,-11.674,1.0,0.0471,186.502,4.0,0.643,1hXjTjJzZTXDZ75AclOo6N,Sammy Hagar,Rock,Heavy Metal
0.000753,0.53,288533.0,0.864,4TIJ7zSBNejpoIPaWpWRKc,0.000459,4.0,0.354,-4.948,0.0,0.061,166.312,4.0,0.484,7lzordPuZEXxwt9aoVZYmG,Billy Idol,Rock,Rebel Yell
0.0368,0.509,278747.0,0.584,6y20BV5L33R8YXM0YuI38N,9.96e-05,0.0,0.384,-4.907,1.0,0.057,170.411,4.0,0.685,4pejUc4iciQfgdX6OKulQn,Queens of the Stone Age,Rock,No One Knows
0.179,0.666,268427.0,0.855,31AOj9sFz2gM0O3hMARRBx,1.2e-06,9.0,0.0987,-5.051,0.0,0.0295,125.639,4.0,0.803,4KWTAlx2RvbpseOGMEmROg,R.E.M.,Rock,Losing My Religion
0.024,0.362,153840.0,0.961,2RaA6kIcvomt77qlIgGhCT,9.35e-06,2.0,0.159,-5.664,1.0,0.0857,164.019,4.0,0.491,2tRsMl4eGxwoNabM08Dm4I,Judas Priest,Rock,Breaking the Law
0.543,0.82,253920.0,0.452,1JSTJqkT5qHq8MDJnJbRE1,0.00294,1.0,0.0714,-9.796,1.0,0.0348,117.401,4.0,0.74,5NGO30tJxFlKixkPSgXcFE,The Police,Rock,Every Breath You Take
0.000266,0.478,248307.0,0.974,7kF1iPJTj3VFJX9XokQ80F,0.0984,7.0,0.0738,-3.866,1.0,0.102,141.077,4.0,0.268,7CHilrn81OdYjkh4uSVnYM,Velvet Revolver,Rock,Slither
0.00797,0.614,293960.0,0.568,2xt2piJx6jlFkjS77YiqpL,0.0,7.0,0.0997,-5.477,0.0,0.0276,107.849,4.0,0.516,2ziB7fzrXBoh1HUPS6sVFn,Audioslave,Rock,Like a Stone
0.0125,0.473,340640.0,0.783,54yLLvpezvPO1lA3GspiZj,0.475,10.0,0.268,-10.671,0.0,0.0869,91.976,4.0,0.124,4CYeVo5iZbtYGBN4Isc3n6,Dio,Rock,Holy Diver
0.0972,0.537,281227.0,0.701,0qdQUeKVyevrbKhAo0ibxS,0.0,1.0,0.0832,-8.913,0.0,0.0335,120.919,4.0,0.583,7FIoB5PHdrMZVC3q2HE5MS,George Harrison,Rock,My Sweet Lord - Remastered 2014
0.0365,0.811,254493.0,0.41,43btz2xjMKpcmjkuRsvxyg,6.63e-06,9.0,0.0799,-8.214,1.0,0.0391,103.965,4.0,0.626,3lPQ2Fk5JOwGWAF3ORFCqH,John Mellencamp,Rock,Jack & Diane
