acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,arstist_id,artist_name,name
0.0038,0.716,213391.0,0.36,57uHrUyUJiWp4kKpiF5J87,0.000398,1.0,0.534,-9.769,1.0,0.357,142.888,4.0,0.176,0XcHrfDZFfXPbhBA0crdO8,Glogang Sosa,Ride On Me
0.0232,0.455,310680.0,0.952,70p3HYq9iHZisJqpDmWd1U,5.65e-05,1.0,0.0662,-6.382,0.0,0.0787,90.365,4.0,0.332,3eNYrVLcWfjJ9JdH9kiPJO,Linked Horizon,Guren no Yumiya
0.213,0.873,214065.0,0.879,6pKkPr3gi5FWKtPS6GNwd8,0.0,8.0,0.184,-6.781,1.0,0.458,138.011,4.0,0.857,0XcHrfDZFfXPbhBA0crdO8,Glogang Sosa,Bih
0.153,0.333,191693.0,0.907,3z1PqYwMtct2Dm4R9lhWnT,0.0,0.0,0.395,-3.191,1.0,0.0959,187.826,4.0,0.353,66lH4jAE7pqPlOlzUKbwA0,Miranda Lambert,Gunpowder & Lead
0.000419,0.595,316235.0,0.936,5SnRpNHDzAoqcTtrDearnG,0.814,7.0,0.0804,-9.207,1.0,0.113,170.059,4.0,0.359,5jmHa0B92ooQvYyIPrb3ET,Ex-Terrestrial,Gguunngg
0.0129,0.599,206200.0,0.957,1wsRitfRRtWyEapl0q22o8,7.06e-05,11.0,0.155,-5.764,1.0,0.188,103.68,4.0,0.489,2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine,Guerrilla Radio
0.0688,0.806,207122.0,0.697,57p1xR7ElpABawRSCpxiI7,1.22e-06,10.0,0.0894,-5.121,0.0,0.065,133.069,4.0,0.234,0XcHrfDZFfXPbhBA0crdO8,Glogang Sosa,More Than 2
0.0276,0.656,89784.0,0.654,19Qu5BOV1Y8nDrzgYavYdB,0.0,7.0,0.109,-7.031,1.0,0.0346,135.044,4.0,0.612,7i3eGEz3HNFnPOCdc7mqoq,Akano,"Gurenge (From ""Demon Slayer: Kimetsu no Yaiba"")"
0.0583,0.617,216224.0,0.554,7DXubWCdZ1EKTDOK9xqF6B,4.6e-06,6.0,0.0906,-10.996,0.0,0.236,136.439,4.0,0.39,0XcHrfDZFfXPbhBA0crdO8,Glogang Sosa,Dont Love Em
0.00359,0.651,204413.0,0.835,3F0xQdEqmXIbrYbtZ46InQ,0.0,6.0,0.118,-5.768,1.0,0.0464,150.058,4.0,0.87,1ShZZUjkbXCjhwrb18BA8I,Bryce Vine,Guilty Pleasure
