arstist_id,artist_name,id,name
0xOeVMOz2fVg5BJY3N6akT,Jaden,3BgL0IcxKAd0sukooPIVhA,GOKU
0RSm4ucFcfn5OHd2RB4FrL,GBKBeats,6OSWwR7mitPsgbzd3PA38f,Beachybeat
3wcj11K77LjEY1PkEazffa,Burna Boy,7rpWDu9GPlLxbLorYKVys7,Gbona
2dWF6m2ksP9GN75fufFp16,Murs,1M29H6bvDB30sIPF0sIid5,GBKW (God Bless Kanye West)
5Eb1u8nTcrYnyvtw4P5lIm,Mckay,6xeIlMsXoqzsEypIgDw2Ee,Gbg Anthem
0RSm4ucFcfn5OHd2RB4FrL,GBKBeats,6e32Fdg4GqBmJLPRNK9u46,Beat Is A Feeling No.3
0RSm4ucFcfn5OHd2RB4FrL,GBKBeats,4VEG1pqVseAHvHX1fsqVz3,Guitarjuke No.4
5hwnEDtc7u1h4uZjhuzV54,Lilnik,3KIjfqFPcG0tHvir63Hahy,Gbese
63GTn25wbdRNX3ijCHvYxD,Oso Oso,7ClS4FdCz9waBZ68pgi1Nf,gb/ol h/nf
7CelKSRZireuyDJ2mKUj8K,D2.GBK,5anSPBUydiSqXms9axoYBG,Expensive Taste
6xini6REf0CP8muuVvDa91,Daddyphatsnaps,1HWcrCD3MtG7FMg7nOSUWH,Goku Rap (Level Up)
0RSm4ucFcfn5OHd2RB4FrL,GBKBeats,7BwDguJaJMu5OI2GyTsLUw,Deep Study Focus
7gzXeFUDWz0aqhikdkOJxQ,Crywank,3Nx9Blgp19GGWLXCAenVtf,Gb Eating Gb Whilst Listening to Gb
1AmSDP1BlvqduXSxAJc06J,Zekk.,3zsOASnO2stTaCSHzA6AXW,4° Distrito
13iQ9ZfyvF0fJPpT9uVzfi,Fatboibari,6VylT7kOMgyN6Pw6LEkzT1,Goku
6ixe2JpfacOq9BvkwQ9rXM,Brocasito,7cG0nsqRhMRbdf1eGbRZBe,Tooka Gbk
4uAQv10G5x0uf3YPnQVIio,Mind Sylenth,79TJRuCauQu7YzIDxvlidK,GB
5EQm4WAgWKQw1X5WTQm4ML,Gbk Kso,1wdqRyEJJLKYe2NOohrMBt,Not One Of Them
7hEcoGwWiCVCz3wjy8sMnP,Scrilla Man,468g1q6khex9aYo7v9XAgU,Can't B Real - Feat. DJ Midas Of GBK
0Z7STbbCmXm1FFB7SDjIFr,GBKHATEDLOVE,3BvAJFlR1HoGcbxFfBPrMH,Fuck Her Attitude
0Z7STbbCmXm1FFB7SDjIFr,GBKHATEDLOVE,5gaihi35enpNKctsgqiJmZ,33 Like Scotty
3wcj11K77LjEY1PkEazffa,Burna Boy,6U7DBIumZknqAZQ7vB3sLc,Gba
0Z7STbbCmXm1FFB7SDjIFr,GBKHATEDLOVE,3RkUNFZpj3knVWNY8uGECq,Demons In The Sky
0zspuZLm1rglTb82ZVaU7p,Scru Face Jean,42Wzp6RNtZzIz6qTaug7YZ,Goku Vegeta
0Z7STbbCmXm1FFB7SDjIFr,GBKHATEDLOVE,4BdHrvzWDuXCEaNM9Uyghk,No Pain X No Gain
1S8DndKl1CpI9NQUOtlt1Z,DJ SEPHP,4dGzuSGOEl9wSt6ekZj7YU,Gkekoeides
5EQm4WAgWKQw1X5WTQm4ML,Gbk Kso,1EJEZJJkZxybgy2DZdKpZs,Mo Money
5sPC6RumWIu2n6wezYU0g3,GBSN,5HYV2zQCZD0LBqU6tMALZ5,Fly Me to the Moon
0koxPyxTpI9Mlsww61tXKq,West End Goldie,11OAgzI6xqysgSSmjtvpQk,GBK
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,3bA5Xfk5JyPGtBh00GX8Gk,"Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)"
5J5gDaWja3U8f5ILvXMlkc,G-K,6AIk0vJ9PMD2uKi2oEpCbj,Know Dat
4Ncq1Cd4RLsARtly42w2d6,Braxy,2AAXsuXrXK6glzL4jlwgB3,Gbk
3L7yYf09MZWuZhZl5e92Xe,Smith & Myers,37BTztcMYOxmD3R5jghjbg,GBL GBD
7wqiciZjWvtYnqpJiEwPEf,GBA SPAZZ GBA YARO,1raciYhAAB3AgZ4nI8Z4gR,GBA FLOW
6b9ZFGVrf52KXpm5WMtZ4q,Reek,77ij3hIXqUzMyA3miGMKQF,G2ku
40epqHrQs710QE6xBPPD5K,Synesthesia,6XsOtkX0qlSadOjCR2iKZQ,Gbk Aim
0Rq2hV3S3O4JMWbL2B510w,Epic Rap Battles of History,42zLjg9lbZSiDbBGO7CmfN,Goku vs Superman
1Vrf7c1YpOOzYGtTaSqQFh,Kaus,1SjKYkpYECB74CaI9BgS52,Gbk D
3p7Bs02UWDt5ENoJeUGqaB,Porta,30iFS26E0M57oJDX6F0Qzb,Goku Vs Jiren Rap
5VWJockmNoEMjROOkEDrHV,Montayy,5GRMhZc02LnMfL2s6BMu9O,GBK Shit
4mSWNal2Ixxf1zrXSTLoep,Zlatan,72hSh4EAQV1PMzCRU7dQap,Gbeku
5aDWliZMWvhUW382Uk8gzG,GBK,4uChcW754AlacKjta1BJ6L,GBK's Back
2AFHxUfG9k9E0HqHYnzYlv,Wim Verboven,3ulvJpY5v8oOwbmVjmOITw,Gekkigheid
3VudC1DraV4LjIdLzpqQ80,Friedrich Habetler,6nyskRK0YDvU6I8nM0dnWp,Goku Black Theme
5T0MSzX9RC5NA6gAI6irSn,Estelle,22UDw8rSfLbUsaAGTXQ4Z8,American Boy
2Dlvgi70UoJJicfKgoW5Vo,Grupo Recluta,4VecbQfA833R56MSm1pk4o,El Equipo Amk (En Vivo)
1ZwdS5xdxEREPySFridCfh,2Pac,20fBuVybkHgjF6vNhSMROD,Ambitionz Az A Ridah
2ZUJPPIpRK31hReRC22ZmT,Commodo,5GZx06rmpaYZpwL90zyxXx,AMK
7oPftvlwr6VrsViSDV7fJY,Green Day,6nTiIhLmQ3FWhvrGafw2zj,American Idiot
4MX8TDXjG2zLcfaaYtDMJC,Kris Delano,5FXD5Bh1yU573XSG2JZZQk,Kalmado
4cZZ3E3RKFunFEMmCGF21M,Translate AMK,5kE7t4bGIMRI365jFqNr94,Stereo Love
0vd9wwMIQeKaNQsaHUbcl2,Arsenal De Guerra,5WxIskNWC0iYzw0KdUnml7,El Adiós a el AMK
3Gm5F95VdRxW3mqCn8RPBJ,Aminé,5hTpBe8h35rJ67eAWHQsJx,Caroline
2cIxw4tBc2NKGqW93irPOE,Aaron Dews,3049eYpqCIaBMFeHYbPIyZ,Dick Grayson
3Gm5F95VdRxW3mqCn8RPBJ,Aminé,5qHirGR7M9tdm6C17DlzSY,REEL IT IN
7ENzCHnmJUr20nUjoZ0zZ1,Snarky Puppy,2OrKsTL9VLNb90IqSs4a9y,Amkeni
5q0xrl0uxQtQkCM8E89rUq,Asid Adult Man,7kCDR2YHSQ4RRtjyZFk3J8,Maldita Corona
1eYsTWBpsNJujBHmetYak6,AMK,0UFiTzhwisGlDwOSmgnCMZ,Nevinná
7ENzCHnmJUr20nUjoZ0zZ1,Snarky Puppy,4pNN8RnhUo5aqvtQ7RmGZC,Shima
7ENzCHnmJUr20nUjoZ0zZ1,Snarky Puppy,570NAs1CvaeIhi6a92Cpb5,Ndagukunda
2cIxw4tBc2NKGqW93irPOE,Aaron Dews,0LhO2OnBUFHRyqlhIxuszt,Son of Batman
